Probe.ElapsedSecs         Probe.Earth.RMAG          Probe.X                   Probe.Y                   Probe.Z                   Probe.VX                  Probe.VY                  Probe.VZ                  Probe.TotalMass           
0                         6771                      6771                      0                         0                         0                         7.672599                  0                         1000                      
Probe.ElapsedSecs         Probe.Earth.RMAG          Probe.X                   Probe.Y                   Probe.Z                   Probe.VX                  Probe.VY                  Probe.VZ                  Probe.TotalMass           
20000.0000003             6789.14473616             -5493.36575867            -3989.41335161            0                         4.50107157901             -6.20063036553            0                         999.999898063             
40000                     6805.72086                2673.13531282             6258.76857086             0                         -7.03811337736            3.00658883056             0                         999.999796126             
59999.9999998             6825.04381335             324.670704142             -6817.31706671            0                         7.63311220795             0.36267147365             0                         999.99969419              
80000.0000001             6841.43926362             -2732.89386429            6271.88825828             0                         -6.99841393213            -3.04810837194            0                         999.999592253             
99999.9999998             6860.7262731              4347.17900032             -5307.69250556            0                         5.89680152607             4.82923047084             0                         999.999490316             
120000                    6877.6530003              -5277.33046802            4410.43012913             0                         -4.88328979535            -5.8406842559             0                         999.999388379             
140000                    6896.70159568             5708.92421636             -3869.45437907            0                         4.26538793916             6.2927403936              0                         999.999286442             
160000                    6914.00804695             -5777.8591459             3797.34788549             0                         -4.17167159246            -6.3444375739             0                         999.999184506             
180000                    6933.16796062             5499.45440817             -4221.94495259            0                         4.61727778444             6.01403268374             0                         999.999082569             
200000                    6950.43825209             -4772.78994116            5052.6298176              0                         -5.50639924888            -5.1993514141             0                         999.998980632             
220000                    6970.09453059             3407.90404299             -6080.16511281            0                         6.59661168488             3.69679524429             0                         999.998878695             
240000                    6987.09547829             -1244.94601773            6875.29000375             0                         -7.43276304794            -1.34479435656            0                         999.998776758             
260000                    7007.18521609             -1656.0889317             -6808.67197791            0                         7.32784372138             -1.78353049365            0                         999.998674822             
280000                    7024.44500024             4747.82817082             5176.96389998             0                         -5.55168884425            5.09197749208             0                         999.998572885             
300000                    7043.91006269             -6841.69812284            -1675.65980059            0                         1.78777587071             -7.30686520212            0                         999.998470948             
320000.000001             7062.81777679             6407.41866086             -2971.25916954            0                         3.1604839869              6.81506658955             0                         999.998369011             
340000                    7080.58385489             -2612.83935873            6580.86150984             0                         -6.97428302854            -2.76769014473            0                         999.998267074             
360000.000001             7100.95157946             -3188.62929916            -6344.77395393            0                         6.69344650719             -3.36534048347            0                         999.998165138             
380000.000001             7119.0876532              7008.34026809             1250.83000472             0                         -1.31460170822            7.36636365304             0                         999.998063201             
400000.000001             7137.70397203             -4788.26623534            5293.32829624             0                         -5.54316349991            -5.01221694236            0                         999.997961264             
420000.000001             7158.18938712             -2529.85575665            -6696.2306675             0                         6.9798196883              -2.63833602898            0                         999.997859327             
440000.000001             7176.63630234             7173.63063902             207.682620718             0                         -0.215538619014           7.44950533727             0                         999.99775739              
460000.000001             7195.20159395             -2373.07521063            6792.60185954             0                         -7.02730412767            -2.45375575617            0                         999.997655454             
480000.000002             7215.76324573             -6114.71638762            -3831.12029534            0                         3.94459486071             -6.29897816218            0                         999.997553517             
500000.000001             7235.40520352             4659.53635663             -5535.3237846             0                         5.6783337911              4.77934196714             0                         999.99745158              
520000.000002             7253.76906104             5272.35010135             4981.91629794             0                         -5.09111258347            5.38846665546             0                         999.997349643             
540000.000001             7273.33668261             -4861.6268882             5409.80688182             0                         -5.50742735971            -4.9472949015             0                         999.997247706             
560000.000001             7294.10203028             -5918.18729539            -4263.68192585            0                         4.31963635498             -5.99867848515            0                         999.99714577              
580000.000001             7314.13489164             3075.4486338              -6636.12725269            0                         6.69784280961             3.10333807256             0                         999.997043833             
600000                    7333.12219283             7237.40869076             1180.93036958             0                         -1.18712061441            7.27652992376             0                         999.996941896             
620000.000001             7352.39096479             1403.02299899             7217.28337835             0                         -7.22792411373            1.40595213232             0                         999.996839959             
640000                    7372.72703613             -5969.05421457            4327.52766979             0                         -4.31733439729            -5.95216697956            0                         999.996738022             
660000                    7393.63800893             -6730.95516487            -3059.43223093            0                         3.03658698185             -6.68490443374            0                         999.996636086             
680000                    7414.28276937             -1266.05288813            -7305.38835851            0                         7.22392373918             -1.25309939511            0                         999.996534149             
700000                    7434.35438507             4902.25571989             -5589.05304856            0                         5.50490097264             4.82780028747             0                         999.996432212             
719999.999999             7454.11822626             7448.2312088              -296.193165602            0                         0.290786680271            7.3067825192              0                         999.996330275             
740000                    7473.99359569             5759.96576589             4762.70665108             0                         -4.65349703238            5.62852937018             0                         999.996228338             
760000                    7494.23086838             1704.4219977              7297.83817047             0                         -7.10205176692            1.65956611412             0                         999.996126402             
780000                    7514.85378938             -2512.91173732            7082.25261313             0                         -6.86450598963            -2.43427302107            0                         999.996024465             
800000                    7535.75655355             -5568.45096637            5077.39900632             0                         -4.90164733741            -5.37329309859            0                         999.995922528             
